,app_name,developer,discount_price,early_access,genres,id,metascore,n_reviews,price,publisher,release_date,reviews_url,sentiment,specs,tags,title,url
6189,Nine Parchments,"FrozenbytePublisher:FrozenbyteFranchise:TrineRelease Date: 5 Dec, 2017",,False,"['Action', 'RPG']",471550,,1109,1999€,"Developer:FrozenbyteFrozenbyteFranchise:TrineRelease Date: 5 Dec, 2017","Developer:FrozenbytePublisher:FrozenbyteFranchise:Trine 5 Dec, 2017",http://steamcommunity.com/app/471550/reviews/?browsefilter=mostrecent&p=1,Mostly Positive,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Local Multi-Player', 'Co-op', 'Online Co-op', 'Local Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']","['Action', 'RPG', 'Magic', 'Local Co-Op', 'Co-op', 'Online Co-Op', 'Fantasy', 'Multiplayer', '4 Player Local', 'Twin Stick Shooter', 'Isometric', 'Colorful']",Nine Parchments,https://store.steampowered.com/app/471550/Nine_Parchments/
6204,Government Simulator,"AmbieraPublisher:AmbieraRelease Date: 4 Dec, 2017",,False,"['Indie', 'Simulation', 'Strategy']",731920,,130,999€,"Developer:AmbieraAmbieraRelease Date: 4 Dec, 2017","Developer:AmbieraPublisher:Ambiera 4 Dec, 2017",http://steamcommunity.com/app/731920/reviews/?browsefilter=mostrecent&p=1,Mixed,"['Single-player', 'Steam Achievements']","['Simulation', 'Indie', 'Strategy', 'Politics', 'Management', 'Economy', 'Turn-Based', 'Singleplayer', 'Sandbox']",Government Simulator,https://store.steampowered.com/app/731920/Government_Simulator/
6220,ZomDay,,,True,,681390,,388,999€,,,http://steamcommunity.com/app/681390/reviews/?browsefilter=mostrecent&p=1,Very Positive,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Steam Cloud', 'Steam Leaderboards', 'HTC Vive', 'Oculus Rift', 'Tracked Motion Controllers', 'Seated', 'Standing', 'Room-Scale']","['Early Access', 'Violent', 'Zombies', 'VR', 'Gore', 'Action', 'Indie', 'Early Access', 'RPG', 'Shooter', 'Blood', 'Post-apocalyptic', 'Horror', 'Bullet Time', 'Fast-Paced', 'Replay Value', 'Arcade', 'Multiplayer']",,https://store.steampowered.com/app/681390/ZomDay/
6222,Cattails | Become a Cat!,"Falcon DevelopmentPublisher:Falcon DevelopmentRelease Date: 1 Dec, 2017",,False,"['Adventure', 'Casual', 'Indie', 'RPG', 'Simulation']",634160,,391,1499€,"Developer:Falcon DevelopmentFalcon DevelopmentRelease Date: 1 Dec, 2017","Developer:Falcon DevelopmentPublisher:Falcon Development 1 Dec, 2017",http://steamcommunity.com/app/634160/reviews/?browsefilter=mostrecent&p=1,Very Positive,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']","['Cats', 'RPG', 'Simulation', 'Indie', 'Cute', 'Casual', 'Pixel Graphics', 'Great Soundtrack', 'Singleplayer', 'Survival', '2D', 'Character Customization', 'Open World', 'Memes', 'Dating Sim']",Cattails | Become a Cat!,https://store.steampowered.com/app/634160/Cattails__Become_a_Cat/
6236,Modern Combat,"Relic Entertainment, Modern Combat Development Team, Black Sand StudiosPublisher:CMIRelease Date: 11 Mar, 2012",,False,"['Action', 'Free to Play', 'Strategy']",341300,,101,Free,"Developer:Relic Entertainment, Modern Combat Development Team, Black Sand StudiosCMIRelease Date: 11 Mar, 2012","Developer:Relic Entertainment, Modern Combat Development Team, Black Sand StudiosPublisher:CMI 11 Mar, 2012",http://steamcommunity.com/app/341300/reviews/?browsefilter=mostrecent&p=1,Mostly Positive,"['Single-player', 'Multi-player', 'Steam Cloud']","['Free to Play', 'Action', 'Strategy', 'Multiplayer', 'Mod']",Modern Combat,https://store.steampowered.com/app/341300/Modern_Combat/
6237,Company of Heroes: Blitzkrieg Mod,"Blitzkrieg Mod TeamPublisher:Blitzkrieg Mod TeamRelease Date: 30 Nov, 2017",,False,"['Free to Play', 'Strategy']",681590,,372,Free,"Developer:Blitzkrieg Mod TeamBlitzkrieg Mod TeamRelease Date: 30 Nov, 2017","Developer:Blitzkrieg Mod TeamPublisher:Blitzkrieg Mod Team 30 Nov, 2017",http://steamcommunity.com/app/681590/reviews/?browsefilter=mostrecent&p=1,Very Positive,"['Single-player', 'Online Multi-Player']","['Strategy', 'Free to Play', 'Violent', 'Gore', 'World War II', 'Mod']",Company of Heroes: Blitzkrieg Mod,https://store.steampowered.com/app/681590/Company_of_Heroes_Blitzkrieg_Mod/
6242,Hidden Object Adventure: Around the World in 80 Days. 隐藏物品,"Crisp App StudioPublisher:Crisp App StudioRelease Date: 24 Nov, 2017",,False,"['Adventure', 'Casual', 'Indie']",736860,,122,299€,"Developer:Crisp App StudioCrisp App StudioRelease Date: 24 Nov, 2017","Developer:Crisp App StudioPublisher:Crisp App Studio 24 Nov, 2017",http://steamcommunity.com/app/736860/reviews/?browsefilter=mostrecent&p=1,Mixed,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Leaderboards']","['Adventure', 'Indie', 'Casual', 'Hidden Object', 'Point & Click', 'Puzzle', 'Competitive', 'Colorful', 'Family Friendly', 'Singleplayer', 'Relaxing']",Hidden Object Adventure: Around the World in 80 Days. 隐藏物品,https://store.steampowered.com/app/736860/Hidden_Object_Adventure_Around_the_World_in_80_Days/
6245,Injustice™ 2,"NetherRealm Studios, QLOCPublisher:WB GamesRelease Date: 30 Nov, 2017",,False,['Action'],627270,86.0,2683,4999€,"Developer:NetherRealm Studios, QLOCWB GamesRelease Date: 30 Nov, 2017","Developer:NetherRealm Studios, QLOCPublisher:WB Games 30 Nov, 2017",http://steamcommunity.com/app/627270/reviews/?browsefilter=mostrecent&p=1,Mostly Positive,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Local Multi-Player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'In-App Purchases', 'Steam Cloud']","['Fighting', 'Action', 'Superhero', 'Multiplayer', 'Singleplayer', 'Batman', 'Local Multiplayer', 'Comic Book', '2D Fighter', 'Story Rich']",Injustice™ 2,https://store.steampowered.com/app/627270/Injustice_2/
6246,First Feudal,"Harpoon GamesPublisher:Harpoon GamesRelease Date: 30 Nov, 2017",,True,"['Indie', 'RPG', 'Strategy', 'Early Access']",733460,,111,1499€,"Developer:Harpoon GamesHarpoon GamesRelease Date: 30 Nov, 2017","Developer:Harpoon GamesPublisher:Harpoon Games 30 Nov, 2017",http://steamcommunity.com/app/733460/reviews/?browsefilter=mostrecent&p=1,Mostly Positive,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Steam Cloud']","['Early Access', 'Indie', 'Base Building', 'Strategy', 'Survival', 'Building', 'Crafting', 'Singleplayer', '2D', 'Sandbox', 'Management', 'Simulation', 'Action', 'Atmospheric', 'Pixel Graphics', 'Great Soundtrack', 'Early Access', 'Resource Management', 'RPG', 'City Builder']",First Feudal,https://store.steampowered.com/app/733460/First_Feudal/
6254,Rush Rover,"radioPublisher:radio, indienovaRelease Date: 29 Nov, 2017",,False,"['Action', 'Adventure', 'Indie']",438320,,129,499€,"Developer:radioradio, indienovaRelease Date: 29 Nov, 2017","Developer:radioPublisher:radio, indienova 29 Nov, 2017",http://steamcommunity.com/app/438320/reviews/?browsefilter=mostrecent&p=1,Very Positive,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']","['Action', 'Indie', 'Adventure', 'Bullet Hell', 'Pixel Graphics', 'Top-Down Shooter', '2D', 'Great Soundtrack', 'Rogue-like', 'Procedural Generation', 'Dungeon Crawler', 'Twin Stick Shooter', 'Replay Value', ""Shoot 'Em Up"", 'Mechs', 'Shooter', 'Sci-fi', 'Rogue-lite', 'Difficult', 'GameMaker']",Rush Rover,https://store.steampowered.com/app/438320/Rush_Rover/
