,app_name,developer,discount_price,early_access,genres,id,metascore,n_reviews,price,publisher,release_date,reviews_url,sentiment,specs,tags,title,url
54,Yakuza Kiwami 2,"SEGAPublisher:SEGAFranchise:YakuzaRelease Date: 9 May, 2019",,False,"['Action', 'Adventure', 'RPG']",927380,81.0,269,2999€,"Developer:SEGASEGAFranchise:YakuzaRelease Date: 9 May, 2019","Developer:SEGAPublisher:SEGAFranchise:Yakuza 9 May, 2019",http://steamcommunity.com/app/927380/reviews/?browsefilter=mostrecent&p=1,Very Positive,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']","['Action', 'Adventure', 'RPG', 'Sexual Content', 'Violent', 'Story Rich', ""Beat 'em up"", 'Great Soundtrack', 'Singleplayer', 'Crime', 'Comedy', 'Minigames', 'Open World']",Yakuza Kiwami 2,https://store.steampowered.com/app/927380/Yakuza_Kiwami_2/
105,Demonheart,"Rolling CrownPublisher:Rolling CrownFranchise:DemonheartRelease Date: 24 Mar, 2017",,False,"['Adventure', 'Casual', 'RPG', 'Simulation']",578900,,194,2199€,"Developer:Rolling CrownRolling CrownFranchise:DemonheartRelease Date: 24 Mar, 2017","Developer:Rolling CrownPublisher:Rolling CrownFranchise:Demonheart 24 Mar, 2017",http://steamcommunity.com/app/578900/reviews/?browsefilter=mostrecent&p=1,Very Positive,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']","['Adventure', 'Visual Novel', 'Otome', 'Female Protagonist', 'RPG', 'Simulation', 'Choose Your Own Adventure', 'Romance', 'Casual', 'Dark Fantasy', 'Dating Sim', 'Story Rich', 'Demons', 'Medieval', 'Villain Protagonist', 'Fantasy', 'Interactive Fiction', 'Dark', 'Replay Value', 'Episodic']",Demonheart,https://store.steampowered.com/app/578900/Demonheart/
114,Rise of Industry,"Dapper Penguin StudiosPublisher:Kasedo GamesRelease Date: 2 May, 2019",,False,"['Indie', 'Simulation', 'Strategy']",671440,69.0,1240,2999€,"Developer:Dapper Penguin StudiosKasedo GamesRelease Date: 2 May, 2019","Developer:Dapper Penguin StudiosPublisher:Kasedo Games 2 May, 2019",http://steamcommunity.com/app/671440/reviews/?browsefilter=mostrecent&p=1,Very Positive,"['Single-player', 'Steam Cloud']","['Management', 'Economy', 'Strategy', 'Simulation', 'Resource Management', 'City Builder', 'Indie', 'Trading', 'Base Building', 'Early Access']",Rise of Industry,https://store.steampowered.com/app/671440/Rise_of_Industry/
118,Pandemic Express - Zombie Escape,"TALLBOYS, tinyBuildPublisher:tinyBuildRelease Date: 2 May, 2019",824€,True,"['Action', 'Indie', 'Massively Multiplayer', 'Early Access']",939510,,782,1249€,"Developer:TALLBOYS, tinyBuildtinyBuildRelease Date: 2 May, 2019","Developer:TALLBOYS, tinyBuildPublisher:tinyBuild 2 May, 2019",http://steamcommunity.com/app/939510/reviews/?browsefilter=mostrecent&p=1,Mostly Positive,"['Multi-player', 'Online Multi-Player']","['Early Access', 'Action', 'Zombies', 'Massively Multiplayer', 'Indie', 'Early Access', 'Multiplayer', 'Survival', 'Horror', 'Shooter', 'Parkour', 'First-Person']",Pandemic Express - Zombie Escape,https://store.steampowered.com/app/939510/Pandemic_Express__Zombie_Escape/
154,KurtzPel,"KOGPublisher:KOGRelease Date: 30 Apr, 2019",,True,"['Action', 'Free to Play', 'Early Access']",844870,,1967,Free To Play,"Developer:KOGKOGRelease Date: 30 Apr, 2019","Developer:KOGPublisher:KOG 30 Apr, 2019",http://steamcommunity.com/app/844870/reviews/?browsefilter=mostrecent&p=1,Mixed,"['Online Multi-Player', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'In-App Purchases']","['Early Access', 'Anime', 'Character Customization', 'Action', 'MMORPG', 'Multiplayer', 'Early Access', 'PvP', 'Fantasy', 'Third Person', 'Fighting', 'Co-op', 'Free to Play', 'Hack and Slash', 'Competitive', 'Controller', 'Character Action Game', 'PvE', 'RPG', 'Open World']",KurtzPel,https://store.steampowered.com/app/844870/KurtzPel/
160,Fade to Silence,"Black Forest GamesPublisher:THQ NordicRelease Date: 30 Apr, 2019",,False,['RPG'],706020,,549,3999€,"Developer:Black Forest GamesTHQ NordicRelease Date: 30 Apr, 2019","Developer:Black Forest GamesPublisher:THQ Nordic 30 Apr, 2019",http://steamcommunity.com/app/706020/reviews/?browsefilter=mostrecent&p=1,Mixed,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Cloud']","['Survival', 'RPG', 'Open World', 'Crafting', 'Singleplayer', 'Lovecraftian', 'Online Co-Op', 'Base Building', 'Third Person', 'Horror', 'Survival Horror', 'Multiplayer', 'Resource Management', 'Co-op', 'Action', 'Post-apocalyptic', 'Early Access', 'Snow', 'Dark', 'Adventure']",Fade to Silence,https://store.steampowered.com/app/706020/Fade_to_Silence/
161,Fell Seal: Arbiter's Mark,"6 Eyes StudioPublisher:1C EntertainmentFranchise:1CRelease Date: 30 Apr, 2019",,False,"['Indie', 'RPG', 'Strategy']",699170,85.0,565,2499€,"Developer:6 Eyes Studio1C EntertainmentFranchise:1CRelease Date: 30 Apr, 2019","Developer:6 Eyes StudioPublisher:1C EntertainmentFranchise:1C 30 Apr, 2019",http://steamcommunity.com/app/699170/reviews/?browsefilter=mostrecent&p=1,Very Positive,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']","['RPG', 'Turn-Based Tactics', 'Strategy', 'Indie', 'Turn-Based Combat', 'Singleplayer', 'Turn-Based Strategy', 'Fantasy', 'Strategy RPG', 'Tactical RPG', 'Turn-Based', 'Character Customization', 'Tactical', 'Isometric', 'Female Protagonist', 'Class-Based', 'Controller', '2D', 'Story Rich', 'Kickstarter']",Fell Seal: Arbiter's Mark,https://store.steampowered.com/app/699170/Fell_Seal_Arbiters_Mark/
175,人间 The Lost We Lost,"白露社Publisher:PeriScope GameRelease Date: 30 Apr, 2019",,False,"['Adventure', 'Casual', 'Indie', 'Simulation']",1057680,,249,329€,"Developer:白露社PeriScope GameRelease Date: 30 Apr, 2019","Developer:白露社Publisher:PeriScope Game 30 Apr, 2019",http://steamcommunity.com/app/1057680/reviews/?browsefilter=mostrecent&p=1,Very Positive,"['Single-player', 'Steam Cloud']","['Nudity', 'Adventure', 'Indie', 'Casual', 'Simulation', 'Visual Novel', 'Anime']",人间 The Lost We Lost,https://store.steampowered.com/app/1057680/_The_Lost_We_Lost/
222,Dark Devotion,"Hibernian WorkshopPublisher:The Arcade Crew, Maple Whispering LimitedRelease Date: 25 Apr, 2019",,False,"['Action', 'Adventure', 'Indie', 'RPG']",718590,71.0,331,1999€,"Developer:Hibernian WorkshopThe Arcade Crew, Maple Whispering LimitedRelease Date: 25 Apr, 2019","Developer:Hibernian WorkshopPublisher:The Arcade Crew, Maple Whispering Limited 25 Apr, 2019",http://steamcommunity.com/app/718590/reviews/?browsefilter=mostrecent&p=1,Mostly Positive,"['Single-player', 'Steam Achievements', 'Full controller support']","['Action', 'RPG', 'Indie', 'Adventure', 'Souls-like', 'Pixel Graphics', 'Violent', 'Metroidvania', 'Gore', '2D', 'Female Protagonist', 'Rogue-like', 'Side Scroller']",Dark Devotion,https://store.steampowered.com/app/718590/Dark_Devotion/
257,Assassin’s CreedⓇ Odyssey - The Fate of Atlantis,"Ubisoft Quebec, Ubisoft Montreal, Ubisoft Bucharest, Ubisoft Singapore, Ubisoft Montpellier, Ubisoft Kiev, Ubisoft ShanghaiFranchise:Assassin's CreedRelease Date: 23 Apr, 2019",,False,"['Action', 'Adventure', 'RPG']",937892,,102,2499€,,"Developer:Ubisoft Quebec, Ubisoft Montreal, Ubisoft Bucharest, Ubisoft Singapore, Ubisoft Montpellier, Ubisoft Kiev, Ubisoft ShanghaiFranchise:Assassin's Creed 23 Apr, 2019",http://steamcommunity.com/app/937892/reviews/?browsefilter=mostrecent&p=1,Very Positive,"['Single-player', 'Downloadable Content', 'Steam Trading Cards', 'Captions available', 'In-App Purchases', 'Partial Controller Support']","['Action', 'Adventure', 'RPG']",Assassin’s CreedⓇ Odyssey - The Fate of Atlantis,https://store.steampowered.com/app/937892/Assassins_Creed_Odyssey__The_Fate_of_Atlantis/
263,Hardware Engineers,"Green127Publisher:Green127Release Date: 22 Apr, 2019",,False,"['Indie', 'Simulation']",485900,,215,1499€,"Developer:Green127Green127Release Date: 22 Apr, 2019","Developer:Green127Publisher:Green127 22 Apr, 2019",http://steamcommunity.com/app/485900/reviews/?browsefilter=mostrecent&p=1,Very Positive,"['Single-player', 'Steam Achievements', 'Steam Workshop', 'Steam Leaderboards', 'Includes level editor']","['Simulation', 'Indie', 'Singleplayer', 'Management', 'Hardware', 'Early Access', 'Building', 'Games Workshop']",Hardware Engineers,https://store.steampowered.com/app/485900/Hardware_Engineers/
309,Levelhead,"Butterscotch ShenanigansPublisher:Butterscotch ShenanigansRelease Date: 18 Apr, 2019",,True,"['Action', 'Early Access']",792710,,145,1679€,"Developer:Butterscotch ShenanigansButterscotch ShenanigansRelease Date: 18 Apr, 2019","Developer:Butterscotch ShenanigansPublisher:Butterscotch Shenanigans 18 Apr, 2019",http://steamcommunity.com/app/792710/reviews/?browsefilter=mostrecent&p=1,Very Positive,"['Single-player', 'Local Multi-Player', 'Co-op', 'Local Co-op', 'Shared/Split Screen', 'Full controller support', 'Includes level editor']","['Early Access', 'Platformer', 'Level Editor', '2D', 'Co-op', 'Difficult', 'Great Soundtrack', 'Early Access', 'Local Co-Op', 'Indie', 'Cute', 'Action', 'Local Multiplayer', '4 Player Local', 'Family Friendly', 'Music', 'Funny', 'Replay Value', 'Hand-drawn']",Levelhead,https://store.steampowered.com/app/792710/Levelhead/
320,Total War: WARHAMMER II - The Prophet & The Warlock,"CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)Publisher:SEGA, Feral Interactive (Mac), Feral Interactive (Linux)Franchise:Total War, WarhammerRelease Date: 17 Apr, 2019",,False,"['Action', 'Strategy']",965220,,569,849€,"Developer:CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)SEGA, Feral Interactive (Mac), Feral Interactive (Linux)Franchise:Total War, WarhammerRelease Date: 17 Apr, 2019","Developer:CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)Publisher:SEGA, Feral Interactive (Mac), Feral Interactive (Linux)Franchise:Total War, Warhammer 17 Apr, 2019",http://steamcommunity.com/app/965220/reviews/?browsefilter=mostrecent&p=1,Very Positive,"['Single-player', 'Multi-player', 'Downloadable Content', 'Steam Achievements']","['Strategy', 'Action', 'Violent']",Total War: WARHAMMER II - The Prophet &amp; The Warlock,https://store.steampowered.com/app/965220/Total_War_WARHAMMER_II__The_Prophet__The_Warlock/
321,Total War: WARHAMMER II - Tiktaq'to,"CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)Publisher:SEGA, Feral Interactive (Mac), Feral Interactive (Linux)Franchise:Total War, WarhammerRelease Date: 17 Apr, 2019",,False,"['Action', 'Strategy']",1003160,,118,Free,"Developer:CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)SEGA, Feral Interactive (Mac), Feral Interactive (Linux)Franchise:Total War, WarhammerRelease Date: 17 Apr, 2019","Developer:CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)Publisher:SEGA, Feral Interactive (Mac), Feral Interactive (Linux)Franchise:Total War, Warhammer 17 Apr, 2019",http://steamcommunity.com/app/1003160/reviews/?browsefilter=mostrecent&p=1,Very Positive,"['Single-player', 'Multi-player', 'Downloadable Content', 'Steam Achievements', 'Steam Trading Cards']","['Strategy', 'Violent', 'Action']",Total War: WARHAMMER II - Tiktaq'to,https://store.steampowered.com/app/1003160/Total_War_WARHAMMER_II__Tiktaqto/
386,KillStreak.tv,"SideQuestNZPublisher:Blue Wizard DigitalRelease Date: 11 Apr, 2019",,False,"['Action', 'Free to Play']",1053060,,118,Free To Play,"Developer:SideQuestNZBlue Wizard DigitalRelease Date: 11 Apr, 2019","Developer:SideQuestNZPublisher:Blue Wizard Digital 11 Apr, 2019",http://steamcommunity.com/app/1053060/reviews/?browsefilter=mostrecent&p=1,Very Positive,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Steam is learning about this game\xa0', '', '']","['Free to Play', 'Action', 'Multiplayer', 'Third-Person Shooter', 'Gun Customization', 'Character Customization', 'Competitive', 'Fast-Paced', 'Shooter', 'Third Person', 'Arena Shooter', 'PvP']",KillStreak.tv,https://store.steampowered.com/app/1053060/KillStreaktv/
389,纸境英雄 Papercraft,"OverturePublisher:Shenzhen Tanyu Interactive Entertainment Co., Ltd.Release Date: 11 Apr, 2019",,False,"['Adventure', 'Indie', 'RPG', 'Strategy']",905660,,149,1499€,"Developer:OvertureShenzhen Tanyu Interactive Entertainment Co., Ltd.Release Date: 11 Apr, 2019","Developer:OverturePublisher:Shenzhen Tanyu Interactive Entertainment Co., Ltd. 11 Apr, 2019",http://steamcommunity.com/app/905660/reviews/?browsefilter=mostrecent&p=1,Very Positive,"['Single-player', 'Steam Achievements', 'Steam Cloud']","['RPG', 'Adventure', 'Indie', 'Strategy', 'Anime', 'Rogue-like']",纸境英雄 Papercraft,https://store.steampowered.com/app/905660/_Papercraft/
391,假如我是人工智能 Big Brother Is Shaping You,"内购人生PABLPublisher:内购人生PABLFranchise:内购人生PABLRelease Date: 12 Apr, 2019",,False,['Indie'],933940,,339,329€,"Developer:内购人生PABL内购人生PABLFranchise:内购人生PABLRelease Date: 12 Apr, 2019","Developer:内购人生PABLPublisher:内购人生PABLFranchise:内购人生PABL 12 Apr, 2019",http://steamcommunity.com/app/933940/reviews/?browsefilter=mostrecent&p=1,Very Positive,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']","['Indie', 'Dystopian', 'Satire', 'Dark Humor', 'Artificial Intelligence']",假如我是人工智能 Big Brother Is Shaping You,https://store.steampowered.com/app/933940/_Big_Brother_Is_Shaping_You/
397,Coloring Game,"L. StotchPublisher:L. StotchRelease Date: 12 Apr, 2019",,False,"['Casual', 'Free to Play', 'Indie']",1026820,,610,Free To Play,"Developer:L. StotchL. StotchRelease Date: 12 Apr, 2019","Developer:L. StotchPublisher:L. Stotch 12 Apr, 2019",http://steamcommunity.com/app/1026820/reviews/?browsefilter=mostrecent&p=1,Overwhelmingly Positive,"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Steam is learning about this game\xa0', '', '']","['Casual', 'Free to Play', 'Indie', 'Relaxing', 'Pixel Graphics', 'Singleplayer']",Coloring Game,https://store.steampowered.com/app/1026820/Coloring_Game/
407,AXIOM SOCCER,"Earthbound Games Ltd.Publisher:Earthbound Games Ltd.Release Date: 11 Apr, 2019",,True,"['Action', 'Casual', 'Free to Play', 'Indie', 'Racing', 'Sports', 'Early Access']",903730,,174,Free To Play,"Developer:Earthbound Games Ltd.Earthbound Games Ltd.Release Date: 11 Apr, 2019","Developer:Earthbound Games Ltd.Publisher:Earthbound Games Ltd. 11 Apr, 2019",http://steamcommunity.com/app/903730/reviews/?browsefilter=mostrecent&p=1,Mixed,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Local Multi-Player', 'Co-op', 'Online Co-op', 'Local Co-op', 'Shared/Split Screen', 'Partial Controller Support', 'Steam is learning about this game\xa0', '', '']","['Early Access', 'Sports', 'Action', 'Indie', 'Free to Play', 'Multiplayer', 'Casual', 'Racing', 'Early Access', 'Soccer', 'Competitive', 'Local Co-Op', 'Fast-Paced', 'Split Screen', 'Local Multiplayer', '4 Player Local', 'e-sports', 'Third-Person Shooter', 'Team-Based', 'Driving']",AXIOM SOCCER,https://store.steampowered.com/app/903730/AXIOM_SOCCER/
408,Pathway,"RobotalityPublisher:ChucklefishRelease Date: 11 Apr, 2019",,False,"['Adventure', 'Indie', 'RPG', 'Strategy']",546430,69.0,615,1399€,"Developer:RobotalityChucklefishRelease Date: 11 Apr, 2019","Developer:RobotalityPublisher:Chucklefish 11 Apr, 2019",http://steamcommunity.com/app/546430/reviews/?browsefilter=mostrecent&p=1,Mixed,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']","['Pixel Graphics', 'RPG', 'Indie', 'Adventure', 'Strategy', 'Turn-Based Combat', 'Rogue-like', 'Turn-Based', 'Turn-Based Tactics', 'Turn-Based Strategy', 'Rogue-lite', 'Tactical']",Pathway,https://store.steampowered.com/app/546430/Pathway/
424,Hentai Mosaique Vip Room,"Lil Hentai GamesPublisher:Lil Hentai GamesRelease Date: 10 Apr, 2019",,False,"['Action', 'Casual', 'Indie', 'RPG', 'Simulation']",1035610,,106,159€,"Developer:Lil Hentai GamesLil Hentai GamesRelease Date: 10 Apr, 2019","Developer:Lil Hentai GamesPublisher:Lil Hentai Games 10 Apr, 2019",http://steamcommunity.com/app/1035610/reviews/?browsefilter=mostrecent&p=1,Very Positive,"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Steam is learning about this game\xa0', '', '']","['Sexual Content', 'Casual', 'Nudity', 'Indie', 'Action', 'Simulation', 'Anime', 'NSFW', 'RPG', 'Clicker']",Hentai Mosaique Vip Room,https://store.steampowered.com/app/1035610/Hentai_Mosaique_Vip_Room/
448,Warplanes: WW2 Dogfight,"Home Net GamesPublisher:Home Net GamesRelease Date: 6 Apr, 2019",,False,"['Action', 'Free to Play', 'Indie']",936780,,164,Free To Play,"Developer:Home Net GamesHome Net GamesRelease Date: 6 Apr, 2019","Developer:Home Net GamesPublisher:Home Net Games 6 Apr, 2019",http://steamcommunity.com/app/936780/reviews/?browsefilter=mostrecent&p=1,Mostly Positive,"['Single-player', 'Full controller support', 'In-App Purchases', 'Steam Cloud', 'Steam is learning about this game\xa0', '', '']","['Free to Play', 'Indie', 'Action', 'World War II', 'Flight', 'Multiplayer']",Warplanes: WW2 Dogfight,https://store.steampowered.com/app/936780/Warplanes_WW2_Dogfight/
455,Supraland,"Supra GamesPublisher:Supra GamesFranchise:SupraverseRelease Date: 5 Apr, 2019",,False,"['Action', 'Adventure', 'Indie']",813630,,1110,1999€,"Developer:Supra GamesSupra GamesFranchise:SupraverseRelease Date: 5 Apr, 2019","Developer:Supra GamesPublisher:Supra GamesFranchise:Supraverse 5 Apr, 2019",http://steamcommunity.com/app/813630/reviews/?browsefilter=mostrecent&p=1,Overwhelmingly Positive,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support']","['Adventure', 'Puzzle', 'Exploration', 'First-Person', 'Metroidvania', 'Action', 'Indie', 'Puzzle-Platformer', 'Multiplayer']",Supraland,https://store.steampowered.com/app/813630/Supraland/
496,Borderlands Game of the Year Enhanced,"Gearbox Software, Blind Squirrel GamesPublisher:2KFranchise:BorderlandsRelease Date: 3 Apr, 2019",,False,"['Action', 'RPG']",729040,,1503,2999€,"Developer:Gearbox Software, Blind Squirrel Games2KFranchise:BorderlandsRelease Date: 3 Apr, 2019","Developer:Gearbox Software, Blind Squirrel GamesPublisher:2KFranchise:Borderlands 3 Apr, 2019",http://steamcommunity.com/app/729040/reviews/?browsefilter=mostrecent&p=1,Mixed,"['Single-player', 'Multi-player', 'Online Co-op', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud']","['Action', 'RPG', 'Violent', 'Gore', 'FPS', 'Loot', 'Co-op', 'Sexual Content']",Borderlands Game of the Year Enhanced,https://store.steampowered.com/app/729040/Borderlands_Game_of_the_Year_Enhanced/
502,CryoFall,"AtomicTorch StudioPublisher:Daedalic EntertainmentRelease Date: 3 Apr, 2019",,True,"['Action', 'Adventure', 'Indie', 'Massively Multiplayer', 'RPG', 'Simulation', 'Strategy', 'Early Access']",829590,,220,1999€,"Developer:AtomicTorch StudioDaedalic EntertainmentRelease Date: 3 Apr, 2019","Developer:AtomicTorch StudioPublisher:Daedalic Entertainment 3 Apr, 2019",http://steamcommunity.com/app/829590/reviews/?browsefilter=mostrecent&p=1,Very Positive,"['Multi-player', 'Online Multi-Player', 'MMO', 'Online Co-op', 'Steam Trading Cards']","['Early Access', 'Indie', 'RPG', 'Multiplayer', 'Sandbox', 'Open World', 'Survival', '2D', 'Sci-fi', 'Massively Multiplayer', 'Character Customization', 'Top-Down', 'Moddable', 'Simulation', 'Early Access', 'Action', 'Adventure', 'Strategy', 'Colorful', 'Family Friendly']",CryoFall,https://store.steampowered.com/app/829590/CryoFall/
504,Borderlands 2 Ultra HD Texture Pack,"Gearbox Software, Hangar 13Publisher:2KFranchise:BorderlandsRelease Date: 3 Apr, 2019",,False,"['Action', 'RPG']",941170,,478,Free,"Developer:Gearbox Software, Hangar 132KFranchise:BorderlandsRelease Date: 3 Apr, 2019","Developer:Gearbox Software, Hangar 13Publisher:2KFranchise:Borderlands 3 Apr, 2019",http://steamcommunity.com/app/941170/reviews/?browsefilter=mostrecent&p=1,Mixed,"['Single-player', 'Co-op', 'Downloadable Content', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']","['Action', 'RPG', 'Gore', 'Violent', 'Sexual Content']",Borderlands 2 Ultra HD Texture Pack,https://store.steampowered.com/app/941170/Borderlands_2_Ultra_HD_Texture_Pack/
510,SurvivalZ Battlegrounds,"KicklessGamePublisher:RewindAppRelease Date: 2 Apr, 2019",,False,"['Action', 'Indie', 'Simulation', 'Strategy']",873220,,194,079€,"Developer:KicklessGameRewindAppRelease Date: 2 Apr, 2019","Developer:KicklessGamePublisher:RewindApp 2 Apr, 2019",http://steamcommunity.com/app/873220/reviews/?browsefilter=mostrecent&p=1,Mixed,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Steam is learning about this game\xa0', '', '']","['Action', 'Indie', 'Simulation', 'Strategy', 'Battle Royale', 'Multiplayer', 'Voxel', 'Early Access', 'Casual', 'Adventure', 'Relaxing', 'War', 'Fighting', 'Arcade', 'Pixel Graphics', 'Singleplayer', 'Wargame', 'Family Friendly']",SurvivalZ Battlegrounds,https://store.steampowered.com/app/873220/SurvivalZ_Battlegrounds/
524,東方紺珠伝 ～ Legacy of Lunatic Kingdom.,"上海アリス幻樂団Publisher:Mediascape Co., Ltd.Release Date: 14 Aug, 2015",,False,"['Action', 'Indie']",937580,,148,1249€,"Developer:上海アリス幻樂団Mediascape Co., Ltd.Release Date: 14 Aug, 2015","Developer:上海アリス幻樂団Publisher:Mediascape Co., Ltd. 14 Aug, 2015",http://steamcommunity.com/app/937580/reviews/?browsefilter=mostrecent&p=1,Very Positive,"['Single-player', 'Partial Controller Support', 'Steam Cloud']","['Indie', 'Bullet Hell', 'Great Soundtrack', 'Action', 'Faith', 'Difficult', 'Female Protagonist', 'Anime', ""Shoot 'Em Up"", 'Singleplayer', 'Fantasy', 'Lore-Rich', 'Arcade', 'Cute']",東方紺珠伝 ～ Legacy of Lunatic Kingdom.,https://store.steampowered.com/app/937580/__Legacy_of_Lunatic_Kingdom/
539,Totally Accurate Battle Simulator,"LandfallPublisher:LandfallRelease Date: 1 Apr, 2019",,True,"['Indie', 'Simulation', 'Strategy', 'Early Access']",508440,,3755,1249€,"Developer:LandfallLandfallRelease Date: 1 Apr, 2019","Developer:LandfallPublisher:Landfall 1 Apr, 2019",http://steamcommunity.com/app/508440/reviews/?browsefilter=mostrecent&p=1,Very Positive,['Single-player'],"['Early Access', 'Simulation', 'Funny', 'War', 'Sandbox', 'Strategy', 'Singleplayer', 'Action', 'Physics', 'Comedy', 'Medieval', 'Indie', 'Casual', 'Adventure', 'Realistic', 'Memes', 'Difficult', '1980s', 'Early Access', 'Fighting']",Totally Accurate Battle Simulator,https://store.steampowered.com/app/508440/Totally_Accurate_Battle_Simulator/
546,Miracle snack shop 기적의 분식집 Philia after story,"TALESSHOP Co., Ltd.Release Date: 1 Apr, 2019",,False,"['Casual', 'Indie', 'Simulation']",1055880,,185,239€,,"Developer:TALESSHOP Co., Ltd. 1 Apr, 2019",http://steamcommunity.com/app/1055880/reviews/?browsefilter=mostrecent&p=1,Very Positive,"['Single-player', 'Downloadable Content', 'Steam is learning about this downloadable content\xa0', '', '']","['Simulation', 'Indie', 'Casual']",Miracle snack shop 기적의 분식집 Philia after story,https://store.steampowered.com/app/1055880/Miracle_snack_shop___Philia_after_story/
548,Lovers of Aether,"Dan FornacePublisher:Dan FornaceFranchise:Rivals of AetherRelease Date: 1 Apr, 2019",,False,"['Casual', 'Indie', 'Simulation']",1043180,,708,Free,"Developer:Dan FornaceDan FornaceFranchise:Rivals of AetherRelease Date: 1 Apr, 2019","Developer:Dan FornacePublisher:Dan FornaceFranchise:Rivals of Aether 1 Apr, 2019",http://steamcommunity.com/app/1043180/reviews/?browsefilter=mostrecent&p=1,Overwhelmingly Positive,"['Single-player', 'Steam Cloud']","['Psychological Horror', 'Dating Sim', 'Casual', 'Indie', 'Free to Play', 'Visual Novel', 'Sexual Content', 'Simulation', 'Horror', 'Survival Horror', 'Anime', 'Memes', 'Nudity', 'Family Friendly']",Lovers of Aether,https://store.steampowered.com/app/1043180/Lovers_of_Aether/
550,Drunken Wrestlers 2,"Oleg SkuttePublisher:Oleg SkutteRelease Date: 1 Apr, 2019",,True,"['Action', 'Casual', 'Free to Play', 'Indie', 'Simulation', 'Sports', 'Early Access']",667530,,585,Free,"Developer:Oleg SkutteOleg SkutteRelease Date: 1 Apr, 2019","Developer:Oleg SkuttePublisher:Oleg Skutte 1 Apr, 2019",http://steamcommunity.com/app/667530/reviews/?browsefilter=mostrecent&p=1,Very Positive,"['Multi-player', 'Online Multi-Player', 'Shared/Split Screen', 'Steam Achievements', 'Steam Workshop', 'Steam Cloud', 'Includes level editor', 'Steam is learning about this game\xa0', '', '']","['Early Access', 'Free to Play', 'Multiplayer', 'Fighting', 'Simulation', 'Sports', 'Action', 'Indie', 'Blood', 'Early Access', 'Physics', 'Casual', 'Funny', 'Character Customization', 'Level Editor', 'Moddable', 'Programming']",Drunken Wrestlers 2,https://store.steampowered.com/app/667530/Drunken_Wrestlers_2/
556,Trap Shrine / 女装神社,"No StrikePublisher:Eroge JapanRelease Date: 29 Mar, 2019",,False,"['Adventure', 'Casual']",951000,,451,819€,"Developer:No StrikeEroge JapanRelease Date: 29 Mar, 2019","Developer:No StrikePublisher:Eroge Japan 29 Mar, 2019",http://steamcommunity.com/app/951000/reviews/?browsefilter=mostrecent&p=1,Very Positive,"['Single-player', 'Steam Trading Cards', 'Steam Cloud']","['Sexual Content', 'Anime', 'Casual', 'Adventure', 'Visual Novel', 'Dating Sim', 'Romance', 'Cute', 'Funny', 'Singleplayer', 'Memes', 'Indie', 'Great Soundtrack', 'Comedy', '2D', 'Psychological Horror', 'Story Rich', 'Nudity', 'FPS']",Trap Shrine / 女装神社,https://store.steampowered.com/app/951000/Trap_Shrine/
585,Shipped,"MajorariattoPublisher:MajorariattoRelease Date: 28 Mar, 2019",,False,"['Action', 'Casual', 'Indie', 'Sports']",1037190,,272,599€,"Developer:MajorariattoMajorariattoRelease Date: 28 Mar, 2019","Developer:MajorariattoPublisher:Majorariatto 28 Mar, 2019",http://steamcommunity.com/app/1037190/reviews/?browsefilter=mostrecent&p=1,Very Positive,"['Single-player', 'Multi-player', 'Local Multi-Player', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Steam is learning about this game\xa0', '', '']","['Casual', 'Indie', 'Action', 'Sports', 'Local Multiplayer']",Shipped,https://store.steampowered.com/app/1037190/Shipped/
